ID_Cliente,Edad,AntigUedad_Meses,Numero_Productos,RFM_Score,Numero_Trx_3m,Meses_Cuenta_Sueldo,Numero_Prestamos,Flg_Mal_Pagador,Nro_Familiares,Nro_Llamadas_CC,Genero,Estado_Civil,Edad_Hijo_Menor,IngresoReal,Flg_ViviendaPropia,Flg_PP,Flg_Retencion,Flg_PP_Garantia_HIP,Flg_TC
539,58,12,0,0,0,5,0,0,7,8,1,0,31,42991,0,0,0,0,0
6337,48,36,5,12.762313,3,33,0,0,5,11,0,2,23,54415,0,0,0,0,0
742,32,24,0,0,0,13,4,0,2,10,1,0,0,26710,0,0,1,0,0
959,49,0,0,0,0,-2,5,0,4,5,0,0,22,64222,0,0,0,0,0
6882,52,36,4,7.865667,1,27,1,0,6,10,0,1,22,25176,1,0,0,0,0
6946,20,12,0,0,0,5,0,0,5,7,0,0,0,65263,0,1,0,0,1
7068,42,0,0,0,0,-4,4,0,3,9,1,2,10,59379,0,0,0,0,0
7100,28,24,2,8.85399,2,17,1,0,2,6,0,0,0,43935,0,0,0,0,0
7186,28,24,0,0,0,12,2,0,4,0,1,0,0,69766,1,0,0,0,0
7266,41,36,0,0,0,24,1,0,1,0,0,1,13,30933,0,0,0,0,0
6989,28,0,0,0,0,-1,0,0,1,0,1,0,0,52174,0,0,0,0,1
7048,49,36,0,0,0,25,1,0,2,0,1,1,18,39840,0,1,0,0,0
7367,43,24,3,8.966657,1,18,0,0,2,11,1,0,15,53970,1,1,0,0,0
10692,44,12,0,0,0,10,1,0,3,10,0,1,13,30933,0,0,1,0,0
1478,40,48,0,0,0,36,2,0,2,4,0,1,10,48069,0,0,0,0,0
1644,43,24,0,0,0,17,1,0,6,10,1,0,12,72513,1,0,0,0,0
10844,22,0,0,0,0,-2,2,0,6,8,1,0,0,79747,0,0,0,0,0
37,32,0,0,0,0,-4,1,0,1,0,1,1,1,35879,0,0,0,0,0
11044,64,36,0,0,0,32,0,0,5,10,1,0,30,37103,0,0,0,0,0
53,34,48,4,12.995667,1,36,0,0,2,9,1,0,4,44429,0,0,0,0,0
1695,38,36,0,0,0,32,0,0,5,9,0,0,10,56824,0,0,0,0,0
1794,33,12,1,8.083323,1,9,1,0,4,10,0,1,2,45864,0,0,0,1,0
11362,39,48,4,11.248,2,39,0,0,3,11,0,0,13,54716,1,0,0,0,0
11380,50,12,2,0,0,-1,0,0,2,9,1,0,20,54532,1,0,0,0,0
469,37,36,3,12.39993,3,24,1,0,4,8,0,1,4,52002,0,0,1,0,1
11548,44,48,4,9.902333,1,36,1,0,4,9,1,2,19,52733,0,0,0,0,0
11565,16,48,0,0,0,35,1,0,3,11,1,0,0,54243,1,0,0,0,0
769,33,36,2,8.665667,1,24,0,0,2,10,1,1,1,68382,0,0,0,0,0
5471,38,0,0,0,0,-5,1,0,3,10,0,1,8,54304,1,1,0,0,1
5504,40,12,0,0,0,8,0,0,3,9,1,0,8,36405,0,0,0,1,0
5520,46,36,2,9.215667,1,32,0,0,5,10,0,1,15,66704,0,0,0,0,0
11814,30,36,0,0,0,34,2,0,6,11,1,0,0,41497,0,0,1,0,0
11831,58,12,0,0,0,5,2,0,7,6,0,1,28,72258,1,0,0,0,0
1012,41,36,0,0,0,31,0,0,2,11,0,2,14,38068,1,0,0,0,0
5606,36,12,0,0,0,8,1,0,2,9,0,2,8,58877,0,1,0,0,0
5656,44,36,4,8.60899,2,32,0,0,1,11,0,1,13,55140,0,0,0,0,0
12080,31,0,0,0,0,-5,0,0,1,8,1,0,2,51309,0,0,1,0,1
12333,49,0,2,0,0,-1,2,0,6,9,1,1,20,67995,0,0,1,0,0
12366,18,12,0,0,0,11,0,0,3,8,1,0,0,40287,0,0,0,0,0
1416,33,0,0,0,0,-4,2,0,6,11,1,2,5,42662,1,0,0,1,0
12450,48,36,2,8.348,2,27,0,0,5,9,1,2,19,24450,1,1,0,0,0
6208,39,24,0,0,0,17,1,0,6,7,0,1,7,33861,0,0,0,0,0
1707,25,24,0,0,0,12,4,0,3,10,0,0,0,50159,0,0,1,0,0
6258,40,0,0,0,0,-1,4,0,1,0,0,0,9,44992,0,0,0,0,1
6275,40,24,0,0,0,11,0,0,3,7,0,0,10,56824,0,0,0,1,0
6390,52,24,0,0,0,19,1,0,4,9,1,1,21,56608,0,0,0,0,1
6407,13,24,0,0,0,18,2,0,1,11,0,0,0,50177,1,0,0,0,0
1975,39,0,0,0,0,-6,1,0,3,10,0,1,13,30933,0,0,0,0,1
449,29,36,0,0,0,33,1,0,3,8,0,0,0,43935,0,0,0,0,1
6592,59,36,0,0,0,30,0,0,7,9,0,0,32,46931,0,0,0,0,1
6706,40,48,0,0,0,40,0,0,3,0,0,0,13,54716,1,0,0,1,0
515,57,24,2,7.582333,1,21,0,0,4,5,0,2,31,56249,0,0,0,1,0
6757,28,36,0,0,0,26,1,0,1,8,1,0,0,50205,0,0,0,0,0
7110,54,36,4,10.928667,3,33,0,0,6,8,1,0,26,33597,1,0,0,0,0
7176,43,12,4,9.049,1,10,0,0,4,11,1,1,13,57415,0,0,0,0,0
1266,46,0,0,0,0,-5,1,0,4,11,0,0,18,47995,1,0,0,0,1
11594,35,36,0,0,0,23,1,0,6,10,0,0,0,49921,1,0,0,0,0
11635,36,24,3,7.624,1,19,4,0,1,9,1,1,4,49274,1,0,0,0,0
11749,35,0,0,0,0,-6,0,0,1,11,1,0,5,55425,0,0,0,0,0
11753,50,36,0,0,0,23,0,0,5,9,1,2,19,24450,0,0,0,0,0
7294,54,0,0,0,0,-6,0,0,6,7,0,0,28,43932,0,0,0,0,0
10684,52,24,0,0,0,11,3,0,4,9,1,2,21,44227,1,0,0,0,0
1586,27,36,7,14.872637,4,32,0,0,2,11,1,0,0,42752,0,0,0,0,0
1620,49,24,0,0,0,15,1,0,6,10,1,2,18,35796,0,0,1,0,0
10719,39,24,1,9.579,1,17,0,0,5,8,1,0,10,56046,0,0,0,0,0
10853,60,24,6,10.214657,3,13,2,0,5,10,0,1,29,59812,1,0,0,0,0
1669,24,0,1,0,0,-4,0,0,6,10,0,0,0,65263,0,0,0,0,0
12012,42,0,0,0,0,-2,3,0,5,9,1,1,11,53548,0,0,0,0,0
12192,32,48,0,0,0,38,1,0,1,9,0,0,1,29078,0,0,0,1,0
10918,34,48,0,0,0,38,1,0,1,10,0,0,5,65852,0,0,0,1,0
10955,38,48,0,0,0,36,0,0,2,8,1,1,6,40295,0,0,0,0,0
11002,24,36,0,0,0,33,0,0,5,0,1,0,0,40287,0,0,0,0,0
1968,35,36,0,0,0,33,0,0,1,10,1,1,3,45384,0,0,1,0,0
12237,48,48,4,10.49697,3,35,0,0,7,5,0,2,20,41325,0,0,0,0,0
12401,35,24,0,0,0,13,0,0,1,8,0,1,4,66781,1,0,0,0,0
11254,44,48,0,0,0,40,0,0,2,7,1,2,17,58487,0,1,0,0,0
16174,49,24,0,0,0,20,0,0,1,11,0,1,18,57643,1,0,1,0,0
12603,19,0,0,0,0,-1,2,0,6,11,1,0,0,69766,1,0,0,0,0
7364,51,24,0,0,0,17,0,0,7,8,1,1,24,58579,0,1,0,0,0
7371,35,24,0,0,0,13,1,0,1,10,0,0,5,65852,0,0,1,1,0
11353,18,48,0,0,0,37,0,0,2,10,1,0,0,40287,0,0,0,0,0
11473,23,24,0,0,0,15,1,0,1,10,0,0,0,63015,0,0,0,0,0
16542,49,36,0,0,0,29,0,0,1,11,0,2,17,37053,0,0,0,0,0
16595,55,36,0,0,0,29,1,0,3,9,1,1,25,69260,0,0,0,0,1
11740,61,12,2,0,0,0,1,0,6,8,1,1,28,61366,0,0,0,0,1
7625,34,48,2,10.995657,2,36,0,0,1,10,1,2,4,65343,0,0,0,1,0
16760,41,48,0,0,0,36,0,0,3,9,0,2,16,47326,0,0,0,0,0
16827,55,36,1,12.799,1,27,1,0,7,9,1,2,29,48428,1,0,0,0,0
11954,54,12,2,0,0,0,3,0,2,9,0,0,22,64334,0,0,0,0,0
7957,52,0,0,0,0,-4,7,0,2,9,0,1,20,45691,0,0,0,0,0
16912,65,36,0,0,0,28,7,0,7,9,0,2,38,42708,0,0,0,0,0
16929,31,48,0,0,0,40,0,0,4,10,1,2,1,31926,0,0,0,0,0
16979,33,0,0,0,0,-5,0,0,3,11,0,2,6,56458,0,0,1,0,0
17060,75,36,0,0,0,26,0,0,7,11,0,1,47,50682,0,0,0,0,0
12057,32,12,0,0,0,5,0,0,3,11,1,2,1,31926,0,1,0,0,0
8089,32,12,2,9.25449,2,6,4,0,6,0,0,1,3,36839,0,1,1,0,0
8175,16,36,0,0,0,24,1,0,5,8,0,0,0,43220,0,1,0,0,0
17193,43,12,14,9.978,2,7,1,0,3,9,0,0,15,57797,1,0,0,1,0
8359,41,12,3,10.842323,2,10,4,0,5,0,1,0,13,47383,1,0,0,0,0
12241,32,24,2,9.009667,2,15,3,0,6,5,0,1,2,67261,0,0,0,0,0
12389,20,36,4,7.525667,1,30,0,0,3,8,0,0,0,67905,0,0,0,0,0
17529,34,48,0,0,0,35,3,0,3,9,0,1,5,38009,0,0,0,0,0
8716,64,24,0,0,0,23,0,0,6,7,0,2,33,52907,0,0,0,0,0
12574,49,36,2,9.91999,1,35,0,0,1,9,0,0,18,47398,0,0,0,0,0
17713,23,36,1,9.804,1,23,3,0,3,7,1,0,0,45799,0,0,0,0,0
17798,16,36,4,8.79099,2,24,0,0,6,10,0,0,0,37502,0,0,1,0,0
8743,44,0,1,0,0,-3,2,0,5,10,1,1,17,67397,0,0,0,0,0
8825,69,24,6,12.103637,3,14,7,0,3,11,1,1,40,61410,1,0,0,0,0
8918,35,36,2,7.337323,1,32,0,0,4,11,1,2,3,58861,1,0,1,0,0
8961,41,36,0,0,0,33,0,0,1,6,1,2,12,78162,0,0,0,1,0
7394,38,0,0,0,0,-3,1,0,5,10,1,0,10,59742,0,0,0,0,0
7459,43,36,2,9.869,1,25,1,0,5,11,0,1,15,41576,0,0,0,0,0
7542,36,36,0,0,0,31,0,0,1,10,0,1,9,32563,0,0,0,1,0
8977,35,48,3,11.16899,2,35,0,0,5,0,1,0,8,36405,0,0,0,0,0
9184,39,12,0,0,0,6,0,0,1,10,0,0,12,43626,0,0,0,0,0
9193,82,48,0,0,0,41,0,0,4,7,0,2,53,59420,1,0,0,0,0
7629,11,24,0,0,0,14,0,0,2,9,0,0,0,65263,0,0,0,0,0
7695,50,0,1,0,0,-4,0,0,5,9,1,2,17,58487,0,0,0,0,0
9361,43,12,3,13.42199,2,5,2,0,6,7,1,2,17,51008,0,0,1,0,0
9393,51,12,0,0,0,5,1,0,1,0,0,1,18,56762,0,0,0,0,0
13085,49,12,2,12.64199,2,10,3,0,6,8,0,1,18,48807,1,0,0,0,0
7929,46,24,5,8.48498,2,14,3,0,5,0,0,1,15,28978,0,1,0,0,0
2234,40,48,0,0,0,38,0,0,4,11,0,0,13,54716,0,0,1,0,0
8144,29,12,4,10.304667,2,9,0,0,2,9,1,0,0,40287,0,0,0,0,0
2302,38,0,0,0,0,-5,2,0,5,10,1,1,9,57561,0,0,1,1,0
2382,38,0,0,0,0,-7,4,0,5,0,0,1,9,38063,1,0,0,0,0
13585,50,36,2,11.869,1,31,2,0,2,0,1,1,18,48205,0,0,1,0,1
8361,23,36,0,0,0,25,1,0,2,11,0,0,0,43935,0,0,0,0,0
8364,29,24,4,10.44197,3,22,0,0,6,1,0,0,0,37502,0,0,0,0,0
8445,51,12,0,0,0,6,2,0,2,8,0,2,19,64317,1,0,0,1,0
2850,48,36,0,0,0,33,1,0,4,7,1,2,18,35796,0,0,0,0,0
13935,42,24,0,0,0,20,1,0,1,10,1,0,12,72513,0,0,0,0,0
8781,56,24,2,11.399,1,17,1,0,3,0,1,2,25,43990,0,0,0,0,0
8913,44,0,0,0,0,-3,0,0,4,10,1,0,16,59799,0,0,0,0,0
3070,23,48,3,11.641323,2,37,2,0,2,9,1,0,0,54532,1,0,0,0,0
14220,47,24,0,0,0,21,1,0,5,10,0,1,17,49127,0,0,0,0,0
3395,42,12,5,13.701323,3,9,3,0,2,9,0,1,14,35121,1,1,0,0,0
9131,42,36,0,0,0,30,0,0,6,10,1,0,17,47588,0,0,0,0,0
14436,49,36,0,0,0,34,1,0,7,9,0,1,21,42003,0,0,1,0,0
14539,39,36,0,0,0,26,1,0,2,0,0,1,8,54304,0,0,0,1,0
3463,31,36,1,7.405667,1,25,0,0,6,11,1,2,6,80647,0,0,0,0,0
3636,51,36,0,0,0,26,0,0,2,6,0,0,18,47398,0,0,0,1,0
14654,49,0,0,0,0,-5,1,0,2,10,0,1,18,56762,0,0,1,0,0
9213,49,12,0,0,0,6,2,0,3,8,0,1,20,34495,1,1,1,0,0
9263,36,36,0,0,0,28,0,0,5,9,1,0,7,56482,0,0,0,1,0
7684,30,36,0,0,0,31,3,0,2,11,0,1,3,47532,0,0,0,0,0
7820,38,0,1,0,0,-1,2,0,2,0,0,2,14,47179,0,0,1,0,0
2296,33,24,2,7.765667,1,17,2,0,3,0,1,1,7,55140,0,1,1,0,1
2297,31,36,0,0,0,27,1,0,6,10,1,0,0,63861,1,1,0,0,0
2344,40,24,0,0,0,23,0,0,4,8,1,2,14,48564,1,0,0,1,0
2495,23,36,0,0,0,34,2,0,1,11,1,0,0,17418,0,0,0,1,0
2529,50,12,0,0,0,8,4,0,6,9,0,0,20,32924,0,0,0,0,0
9747,40,36,0,0,0,35,1,0,6,0,1,1,13,38650,0,0,0,0,0
9804,53,24,0,0,0,12,1,0,4,8,1,1,26,42550,0,0,0,0,0
2664,47,24,2,8.695667,1,15,5,0,6,7,0,0,15,49729,1,0,0,0,0
2749,36,48,0,0,0,37,1,0,3,9,1,1,7,79287,1,0,0,0,0
8523,51,36,2,10.609,1,23,2,0,7,9,1,2,26,36609,0,1,0,0,0
8603,34,0,1,0,0,-3,3,0,4,0,1,1,2,48788,0,0,0,0,0
10304,30,24,2,8.549,1,14,0,0,3,7,1,0,0,40287,1,0,0,0,0
2982,64,12,0,0,0,6,0,0,3,9,0,1,35,39989,1,1,0,0,0
3014,62,24,0,0,0,13,1,0,3,11,0,1,35,58289,0,0,0,0,1
3046,38,12,0,0,0,5,0,0,4,8,0,2,7,48329,0,0,0,0,0
3133,21,36,0,0,0,33,0,0,2,10,1,0,0,42752,0,0,0,0,0
3330,58,24,3,12.952333,1,20,3,0,6,9,1,2,28,37836,0,0,0,0,0
8972,54,36,3,9.007323,2,26,2,0,6,0,1,1,27,65244,0,1,0,1,0
21318,45,36,0,0,0,25,2,0,3,0,0,1,16,56497,1,1,0,0,0
3347,35,48,4,11.203313,3,36,1,0,2,11,1,0,7,58009,1,0,1,0,0
9124,34,24,0,0,0,23,0,0,3,4,0,1,5,37098,1,0,0,0,0
3599,41,0,0,0,0,-3,0,0,4,7,0,2,11,46755,0,0,0,0,0
3667,45,48,3,7.34999,1,37,0,0,2,11,0,0,19,52368,1,0,0,1,1
3766,45,24,1,11.355667,1,16,1,0,3,7,0,0,9,51244,0,0,0,0,0
3784,37,12,4,9.150617,2,5,0,0,3,8,0,2,6,56458,0,0,0,0,0
9341,59,12,0,0,0,0,0,0,2,7,1,2,28,43490,0,1,0,0,0
2136,47,36,1,10.849,1,24,1,0,5,8,1,0,16,48993,0,0,0,0,0
21836,36,12,0,0,0,10,0,0,5,0,1,0,7,56482,0,1,0,0,0
3818,27,12,4,10.784333,4,7,0,0,5,7,0,0,0,65263,0,0,1,0,0
3849,51,0,0,0,0,-6,2,0,7,10,0,0,23,74876,1,0,0,0,0
2369,56,24,3,11.326333,2,13,3,0,3,9,0,2,25,38953,0,0,0,0,1
4050,40,36,0,0,0,23,1,0,6,11,0,1,9,43897,1,0,1,0,0
2489,35,24,0,0,0,12,4,0,6,11,0,1,5,54811,0,0,0,0,0
16088,42,0,1,0,0,-2,3,0,3,0,1,2,14,47761,0,0,0,0,0
16136,17,48,0,0,0,37,1,0,4,0,1,0,0,54243,0,0,0,0,0
16163,49,36,0,0,0,31,0,0,4,9,1,2,20,36701,0,0,0,0,0
2656,37,36,2,8.199,1,32,0,0,6,9,0,0,7,55328,1,0,0,0,0
2837,43,36,0,0,0,31,1,0,5,8,0,1,13,30933,0,0,0,1,0
16381,41,24,0,0,0,17,1,0,2,0,0,2,18,51125,0,0,0,0,0
16488,49,24,0,0,0,18,0,0,6,11,1,2,18,45892,0,0,0,0,0
9699,38,36,0,0,0,30,0,0,5,9,1,2,15,69553,0,1,0,0,0
16622,33,12,0,0,0,7,1,0,1,0,0,1,7,33861,0,0,1,0,0
3223,14,36,4,12.76398,3,24,0,0,4,11,1,0,0,42752,1,0,0,0,0
3524,42,24,0,0,0,15,7,0,1,10,1,2,12,54242,1,0,0,1,0
17006,49,0,8,0,0,-4,4,0,3,8,0,1,21,64159,1,0,0,0,0
17040,46,36,0,0,0,27,0,0,2,11,0,2,15,41319,0,0,0,0,0
17049,38,36,2,10.841333,2,33,2,0,3,11,0,1,6,45384,1,0,0,0,0
17101,28,36,0,0,0,31,0,0,5,9,1,0,0,42752,0,0,0,1,1
17190,51,36,0,0,0,28,2,0,5,10,0,1,20,34495,0,0,0,0,0
10369,48,48,0,0,0,37,3,0,7,10,0,0,19,65816,0,0,1,0,0
10453,31,24,0,0,0,15,1,0,2,8,1,0,0,49255,0,0,0,0,0
3876,18,36,4,11.465667,1,25,1,0,1,10,0,0,0,49921,1,0,0,0,0
17360,42,24,0,0,0,23,1,0,6,11,1,2,14,29682,1,0,0,1,0
21265,45,12,0,0,0,5,1,0,3,10,1,1,15,43123,1,0,1,0,0
21280,33,24,0,0,0,16,2,0,5,0,1,1,2,63703,0,0,0,0,0
21350,27,0,0,0,0,-4,0,0,5,9,0,0,0,65263,0,0,1,0,0
17594,20,48,0,0,0,37,0,0,5,0,0,0,0,65263,0,0,0,1,1
17649,26,12,0,0,0,9,0,0,1,10,0,0,0,65263,0,0,0,0,0
21464,71,0,0,0,0,-5,1,0,6,10,1,2,41,43398,1,1,0,0,0
17694,39,36,4,10.16799,3,25,7,0,2,11,0,0,10,44851,1,0,0,0,0
17826,44,36,2,9.91999,1,28,1,0,2,8,1,1,16,49260,0,0,0,0,0
21699,26,48,2,8.355667,1,38,0,0,3,9,1,0,0,42752,0,1,0,0,0
21818,29,48,0,0,0,39,2,0,1,11,0,2,2,46816,1,0,0,0,1
21848,56,24,3,11.697,3,13,3,0,2,11,1,1,24,45691,0,1,1,0,0
21918,41,0,0,0,0,-5,1,0,2,0,1,2,11,47494,0,0,0,0,1
16017,34,36,4,12.330567,3,34,0,0,2,10,0,2,4,44525,1,0,0,0,0
16115,40,36,0,0,0,34,2,0,6,11,1,2,9,40562,0,0,0,0,0
16754,30,12,2,9.94899,2,7,0,0,3,10,0,0,0,37502,1,0,0,0,0
17121,34,0,3,0,0,-3,0,0,4,10,1,0,7,56482,0,0,0,0,0
17403,37,48,0,0,0,37,0,0,5,9,1,0,6,40442,1,0,0,0,0
17487,32,36,2,7.453323,1,35,0,0,3,11,0,1,4,66781,0,1,0,0,0
17539,36,48,0,0,0,38,2,0,4,11,1,1,7,55140,0,0,0,0,0
17673,59,0,0,0,0,-6,0,0,7,10,0,1,29,36927,1,0,0,0,0
6418,46,48,0,0,0,37,1,0,3,9,1,0,17,56439,0,1,0,0,0
6513,39,12,1,0,0,0,0,0,4,0,0,2,5,50245,1,0,0,0,0
6579,38,24,3,10.96899,2,16,1,0,3,7,0,0,8,31855,1,1,0,0,0
6638,27,48,1,11.14999,1,37,0,0,3,11,1,0,0,42752,0,0,0,0,0
6829,34,36,0,0,0,32,0,0,2,8,1,0,3,21103,0,0,1,0,0
6979,36,36,2,7.673283,1,25,1,0,3,0,0,1,5,35657,0,0,0,0,0
7029,39,24,0,0,0,20,1,0,4,10,1,1,11,44206,0,0,0,0,0
7197,29,12,1,7.689,1,8,3,0,6,9,1,0,3,46342,0,0,0,1,0
7222,30,24,0,0,0,15,0,0,1,7,0,0,0,65263,1,0,0,0,0
17921,46,24,0,0,0,13,0,0,2,11,1,2,16,62909,0,0,0,0,0
17944,38,24,0,0,0,16,4,0,1,9,1,1,10,46114,0,0,0,0,0
12705,34,0,0,0,0,-5,0,0,3,9,1,2,4,65343,1,0,0,0,0
12760,67,48,2,9.070617,2,36,1,0,7,11,1,0,37,50026,0,0,0,1,0
12805,49,36,2,11.179,1,27,2,0,7,10,1,1,22,43035,0,0,0,0,0
12912,36,48,0,0,0,36,0,0,5,10,1,2,6,80647,0,0,0,0,0
14939,34,12,4,9.527283,2,6,1,0,4,11,0,0,4,42084,1,1,0,0,0
14988,41,0,0,0,0,-6,0,0,3,0,1,1,13,57415,0,0,0,0,0
13089,45,24,0,0,0,16,0,0,3,8,1,2,13,53734,1,0,0,0,1
13125,43,0,0,0,0,-2,2,0,2,9,0,0,10,35387,1,1,0,0,1
13143,49,48,0,0,0,37,2,0,3,9,0,1,17,40669,1,0,0,0,0
13355,40,24,0,0,0,15,0,0,5,11,1,0,9,57317,0,0,0,0,0
13362,46,12,0,0,0,5,1,0,6,9,0,2,14,59099,0,0,0,0,0
15255,63,0,0,0,0,-6,1,0,5,11,1,2,34,44333,0,1,0,0,0
13582,22,24,0,0,0,19,3,0,6,10,1,0,0,47843,0,1,0,0,0
15472,34,24,0,0,0,11,1,0,5,10,0,0,6,50717,0,0,0,0,0
13225,48,36,0,0,0,34,2,0,7,11,0,2,21,53242,0,0,1,0,0
13358,38,48,0,0,0,40,1,0,5,11,1,2,5,57778,1,1,0,0,0
13830,49,36,4,0,1,34,1,0,5,9,1,1,17,45078,0,0,0,0,0
13458,33,36,0,0,0,26,4,0,3,0,0,1,1,52004,0,0,0,0,0
13610,26,36,0,0,0,23,0,0,5,10,1,0,0,42752,0,1,0,0,1
13727,48,12,0,0,0,9,2,0,2,10,1,1,19,51772,1,1,0,0,0
14282,34,12,2,8.292333,1,9,2,0,4,9,1,1,5,44976,1,0,0,0,0
14602,37,0,0,0,0,-4,0,0,5,10,0,2,7,48329,0,1,1,0,0
26972,31,48,2,8.262323,2,38,0,0,3,8,0,0,0,37502,0,0,1,0,0
13911,44,48,55,33.289082,26,37,0,0,1,6,0,2,18,50126,0,0,0,0,0
13945,50,36,1,8.486657,1,33,2,0,4,0,0,0,22,37758,0,0,0,0,0
14378,35,0,0,0,0,-2,0,0,6,9,0,2,7,48329,0,0,0,0,0
14545,53,12,0,0,0,8,0,0,6,7,1,2,27,56840,0,0,1,0,0
14580,29,48,2,11.222333,1,36,0,0,5,10,1,0,0,40287,0,0,0,0,0
14581,44,36,0,0,0,28,1,0,5,10,0,1,14,59133,0,0,0,0,0
27139,28,0,0,0,0,-6,3,0,5,10,1,1,2,48788,0,0,1,0,0
27140,39,36,0,0,0,33,0,0,4,8,0,2,11,46755,0,0,1,0,0
27156,42,24,0,0,0,13,0,0,3,10,1,0,14,28742,1,0,0,0,0
27157,39,36,0,0,0,25,1,0,1,9,1,1,6,65732,0,0,0,0,0
27255,33,12,3,8.365667,1,10,0,0,3,10,1,0,2,51309,0,0,0,0,0
27306,33,12,4,9.940147,3,10,2,0,5,11,1,2,2,47287,0,0,0,0,0
14681,45,36,3,9.299,1,28,3,0,6,10,1,0,17,36364,0,0,0,0,0
15211,49,48,0,0,0,36,1,0,5,9,1,2,21,59232,0,0,0,0,0
15079,43,12,0,0,0,7,1,0,5,0,1,1,15,43123,0,0,0,0,0
15181,32,24,5,10.931637,3,20,1,0,2,10,0,1,3,56036,1,0,0,0,1
15213,48,24,0,0,0,19,3,0,1,11,0,2,15,56348,0,0,0,0,0
15214,42,24,2,8.152333,1,14,0,0,5,4,0,0,14,29130,0,0,0,1,0
15359,39,36,0,0,0,32,0,0,4,10,1,0,9,57317,0,0,0,0,0
15477,23,36,0,0,0,35,3,0,5,5,0,0,0,76547,0,0,0,0,0
15695,39,36,0,0,0,28,2,0,5,1,1,1,9,57561,0,1,0,0,0
15849,44,24,0,0,0,17,3,0,6,9,1,2,16,42381,1,0,0,0,0
26618,42,12,0,0,0,9,3,0,2,9,0,2,12,47792,0,0,0,0,0
26813,40,24,2,9.355667,1,14,1,0,3,0,1,0,12,72513,0,0,0,0,0
26859,45,36,0,0,0,35,0,0,4,11,1,1,13,57415,0,0,0,0,0
27084,32,24,7,11.480313,4,16,1,0,3,10,0,1,3,56036,0,0,1,0,1
26930,47,24,0,0,0,22,1,0,2,1,1,1,19,29959,0,1,0,0,1
27268,51,24,0,0,0,12,0,0,6,8,1,0,21,52114,0,0,0,0,0
27277,38,12,0,0,0,9,0,0,6,9,0,2,12,69332,0,0,0,0,0
27333,23,24,4,9.752313,2,17,2,0,5,8,0,0,0,46236,1,0,0,1,0
10698,26,24,2,11.445667,1,21,0,0,6,9,0,0,0,67905,0,0,0,0,0
10782,63,36,0,0,0,28,0,0,2,10,0,2,31,56249,0,0,0,0,0
10807,36,24,6,11.711323,3,17,1,0,2,9,1,0,8,36646,0,0,0,1,0
10855,36,24,0,0,0,21,3,0,4,10,1,1,9,68940,0,0,0,0,0
10898,36,24,0,0,0,22,0,0,3,10,0,0,8,68819,1,0,1,0,0
11050,24,24,0,0,0,22,0,0,3,7,0,0,0,65263,1,0,0,0,0
11125,14,36,0,0,0,29,0,0,1,10,1,0,0,42752,1,0,0,0,0
11457,39,24,0,0,0,18,1,0,2,10,0,2,6,54406,1,0,0,0,0
11602,44,12,0,0,0,8,1,0,1,10,0,2,14,59099,0,0,0,0,0
11607,39,0,1,0,0,-3,2,0,4,6,1,1,9,57561,0,0,0,1,1
11609,39,0,0,0,0,-2,0,0,4,6,0,0,10,56824,1,0,0,1,1
11616,26,36,0,0,0,26,1,0,4,11,0,0,0,43935,0,0,0,0,0
